prob,gene
225214_at,LOC100129034
239978_at,---
219520_s_at,WWC3
243092_at,PAN3-AS1
87100_at,ABHD2
236321_at,FAM200B
219000_s_at,DSCC1
207266_x_at,RBMS1
219869_s_at,SLC39A8
207031_at,NKX3-2
225531_at,CABLES1
207265_s_at,KDELR3
218665_at,FZD4
202014_at,PPP1R15A
225793_at,LIX1L_///_LOC101060547
235384_at,NUDT19
212365_at,MYO1B
208701_at,APLP2
216129_at,ATP9A
230461_s_at,---
228804_at,DGCR5_///_LOC100287576_///_LOC100506454
228455_at,---
205469_s_at,IRF5
235126_at,FLVCR1-AS1
1557116_at,APOL6
226059_at,TOMM40L
238508_at,DBF4B
219305_x_at,FBXO2
214180_at,MAN1C1
236518_at,KIAA1984
1554783_s_at,ARHGEF2
207440_at,SLC35A2
236305_at,RFESD
243444_at,SRD5A3
227330_x_at,LOC100233156_///_MAFIP_///_TEKT4P2
210608_s_at,FUT2
209417_s_at,IFI35
230375_at,PNISR
57540_at,RBKS
238030_at,ZNF268
234332_at,NUB1
202794_at,INPP1
203159_at,GLS
218913_s_at,GMIP
216833_x_at,GYPB
225883_at,ATG16L2
227368_at,---
215223_s_at,LOC100129518_///_SOD2
233589_x_at,TOR4A
222819_at,CTPS2
203965_at,USP20
235016_at,REEP3
227899_at,VIT
238774_at,---
205401_at,AGPS
241448_at,---
230435_at,FAM228B
236263_at,SHH
1556657_at,---
36499_at,CELSR2
225825_at,C20orf194
1561973_at,SMARCC2
232112_at,RALGPS2
244054_at,---
219095_at,JMJD7_///_JMJD7-PLA2G4B_///_PLA2G4B
226623_at,PHYHIPL
239331_at,---
240239_at,ZNF566
243894_at,SLC41A2
240365_at,LINC00669
206081_at,SLC24A1
228905_at,PCM1
227626_at,PAQR8
232138_at,MBNL2
213629_x_at,MT1F
200696_s_at,GSN
210845_s_at,PLAUR
212023_s_at,MKI67
221245_s_at,FZD5
204498_s_at,ADCY9
205193_at,MAFF
222269_at,APOOL
220178_at,MFSD12
231207_at,---
241804_at,OTTHUMG00000176822_///_RP11-846E15.3
209958_s_at,BBS9
226679_at,SLC26A11
218051_s_at,NT5DC2
207738_s_at,NCKAP1
224963_at,SLC26A2
216247_at,RPS20_///_SNORD54
213679_at,TTC30A
226670_s_at,PABPC1L
242935_at,SBF2
212978_at,LRRC8B
204603_at,EXO1
228671_at,TMEM201
229897_at,ZNF641
225700_at,GLCCI1
226101_at,PRKCE
205676_at,CYP27B1
232525_at,---
236488_s_at,CTD-3092A11.2_///_OTTHUMG00000183910
1556821_x_at,DLEU2
235354_s_at,RSRC1
217625_x_at,LINC00963
231791_at,ASAH2B
1557558_s_at,MATN1-AS1
219543_at,PBLD
1567107_s_at,TPM4
230060_at,CDCA7
204285_s_at,PMAIP1
234944_s_at,MTFR2
206654_s_at,POLR3G
225847_at,NCEH1
219586_at,WDR59
1554001_at,TRIM37
238622_at,RAP2B
1554411_at,CTNNB1
208250_s_at,DMBT1
1555500_s_at,SLC2A4RG
202241_at,TRIB1
202879_s_at,CYTH1
205396_at,SMAD3
222234_s_at,DBNDD1
209561_at,THBS3
215238_s_at,DOCK9
1555082_a_at,NEK11
227921_at,---
237377_at,---
226785_at,ATP11C
221833_at,LOC100507577_///_LONP2
1554250_s_at,TRIM73
236229_at,---
226448_at,FAM89A_///_MIR1182
1552303_a_at,TMEM106A
208763_s_at,TSC22D3
223093_at,ANKH
203264_s_at,ARHGEF9
205406_s_at,SPA17
212019_at,RSL1D1
1554068_s_at,C12orf66
205192_at,MAP3K14
234775_at,OR51B5
204099_at,SMARCD3
232333_at,---
213248_at,LOC730101
1566147_a_at,ANKRD20A12P
207590_s_at,CENPI
200762_at,DPYSL2
218196_at,OSTM1
225414_at,RNF149
229706_at,TCERG1
223471_at,RAB3IP
236484_at,---
223158_s_at,NEK6
230200_at,NSUN6
1554292_a_at,UHRF1BP1L
226134_s_at,MSI2
226637_at,UBE2H
238753_at,NCS1
239373_at,---
225108_at,AGPS
225955_at,METRNL
232472_at,---
222692_s_at,FNDC3B
228242_at,N4BP2
236118_at,LOC100128893
229610_at,CKAP2L
220158_at,LGALS14
229575_at,---
242153_at,LARP1B
229874_x_at,OTTHUMG00000002204_///_RP11-108M9.4
202972_s_at,FAM13A
239358_at,---
1558458_at,LOC401320
235939_at,OTTHUMG00000175830_///_RP1-228H13.5
207000_s_at,PPP3CC
200872_at,S100A10
209695_at,PTP4A3
239400_at,FLJ45513
206129_s_at,ARSB
208523_x_at,HIST1H2BC_///_HIST1H2BE_///_HIST1H2BF_///_HIST1H2BG_///_HIST1H2BI
1559003_a_at,CCDC163P
228105_at,---
235069_at,TATDN3
219831_at,CDKL3
230361_at,LOC377711_///_MROH1
224767_at,LOC100506548_///_RPL37
210286_s_at,SLC4A7
240095_at,---
209558_s_at,HIP1R
228549_at,OTTHUMG00000041221_///_RP11-285F7.2
223131_s_at,TRIM8
206347_at,PDK3
210844_x_at,CTNNA1
216417_x_at,HOXB9
1553768_a_at,DCBLD1
225262_at,FOSL2
211529_x_at,HLA-G
204404_at,SLC12A2
201308_s_at,11-Sep
1558365_at,PGK1
239504_at,---
210042_s_at,CTSZ
217369_at,IGHG1
227667_at,CUEDC1
203386_at,TBC1D4
211106_at,SUPT3H
213403_at,---
1553990_at,BRICD5
226002_at,GAB1
219268_at,ETNK2
208407_s_at,CTNND1_///_TMX2-CTNND1
229312_s_at,GKAP1
1007_s_at,DDR1_///_MIR4640
210765_at,CSE1L
220137_at,VSIG10
224920_x_at,MYADM
216841_s_at,LOC100129518_///_SOD2
202894_at,EPHB4
210519_s_at,NQO1
203615_x_at,SULT1A1
207492_at,NGLY1
236000_s_at,---
1556412_at,---
204573_at,CROT
203783_x_at,POLRMT
226075_at,SPSB1
217678_at,SLC7A11
1558214_s_at,CTNNA1
228759_at,CREB3L2
204497_at,ADCY9
200660_at,S100A11
244763_at,MTRF1
215280_s_at,PPFIA3
215783_s_at,ALPL
242993_at,---
229399_at,C10orf118
236679_x_at,---
236079_at,LOC202025
210985_s_at,SP100
242928_at,---
228077_at,MRI1
218826_at,SLC35F2
243709_at,SLC38A9
223453_s_at,ATL3
1558212_at,FLJ35024
210282_at,ZMYM2
204484_at,PIK3C2B
236386_at,OTTHUMG00000178989_///_SUZ12P
211962_s_at,ZFP36L1
236613_at,RBM25
236273_at,NBPF1
214185_at,KHDRBS1
216620_s_at,ARHGEF10
223544_at,TMEM79
228574_at,TMTC2
239265_at,SLC35G1
226358_at,APH1B
1552278_a_at,SLC46A1
217436_x_at,HLA-J
216375_s_at,ETV5
225252_at,SRXN1
201329_s_at,ETS2
1569542_at,---
217671_at,DSERG1
227877_at,ANXA2R
223461_at,TBC1D7
215250_at,EMC3
230139_at,OTTHUMG00000176325_///_RP11-121C2.2
1553120_at,CLSPN
222698_s_at,IMPACT
231838_at,PABPC1L
213820_s_at,STARD5
216061_x_at,PDGFB
225147_at,CYTH3
215537_x_at,DDAH2
1552651_a_at,RAD51L3-RFFL_///_RFFL
205774_at,F12
223769_x_at,HYI
214804_at,CENPI
1558794_at,NUTM2A-AS1
228997_at,TRNAU1AP
206182_at,ZNF134
206088_at,LRRC37A3
235309_at,RPS15A
228088_at,SESTD1
1556978_a_at,TAF8
243735_at,ELP2
218175_at,CCDC92
241036_at,---
226272_at,RCAN3
220466_at,CCDC15
204906_at,RPS6KA2
1560477_a_at,SAMD11
228261_at,MIB2
213718_at,RBM4
214106_s_at,GMDS
208862_s_at,CTNND1_///_TMX2-CTNND1
219371_s_at,KLF2
210357_s_at,SMOX
239688_at,SMC1A
242056_at,TRIM45
219155_at,PITPNC1
1557418_at,ACSL4
1562848_at,IST1
1555426_a_at,OTUD5
234976_x_at,MTHFD2
240247_at,---
219854_at,ZNF14
223908_at,HDAC8
207346_at,STX2
227670_at,ZNF75A
242473_at,TRAF4
232778_at,---
239391_at,FAM120AOS
226246_at,KCTD1
1555993_at,CACNA1D
243423_at,TNIP1
225128_at,KDELC2
1555475_x_at,TTLL3
241885_at,---
227023_at,GLI4_///_ZFP41
241300_at,---
218705_s_at,SNX24
238992_at,POLI
238924_at,BMS1P1_///_BMS1P5_///_LOC100996797
233123_at,SLC40A1
225136_at,PLEKHA2
217974_at,TM7SF3
219921_s_at,DOCK5
219208_at,FBXO11
243410_at,---
228522_at,FBRSL1
222167_at,---
214464_at,CDC42BPA
210045_at,IDH2
212442_s_at,CERS6
215483_at,AKAP9
231235_at,NKTR
223666_at,SNX5
227259_at,CD47
207231_at,DZIP3
238501_at,---
215046_at,KANSL1L
205203_at,PLD1
209776_s_at,SLC19A1
238970_at,---
231957_s_at,DPP9
229305_at,MLF1IP
204881_s_at,UGCG
206665_s_at,BCL2L1
215570_s_at,ZNF780A_///_ZNF780B
205167_s_at,CDC25C
210017_at,MALT1
223713_at,RSPH3
205432_at,OVGP1
201613_s_at,AP1G2
219008_at,C2orf43
230654_at,---
209267_s_at,SLC39A8
1557141_at,FAM188B_///_INMT-FAM188B
230295_at,SOLH
220134_x_at,EVA1B
224811_at,LPP
243561_at,---
242918_at,NASP
230092_at,UBXN10
242485_at,---
223915_at,BCOR
203845_at,KAT2B
235880_at,SRRM3
222693_at,FNDC3B
239232_at,MSI2
244360_at,FBXL17
201452_at,RHEB
227649_s_at,SRGAP2_///_SRGAP2D
223283_s_at,TSHZ1
213601_at,ARHGAP19_///_SLIT1
227979_at,RBM4
1556033_at,FLJ39739
213728_at,LAMP1
224952_at,TANC2
230267_at,OTTHUMG00000179824_///_RP11-173M1.8
240037_at,ITPRIPL1
1554159_a_at,ZMYND11
229081_at,SLC25A13
218689_at,FANCF
230713_at,---
219354_at,KLHL26
215358_x_at,ZNF37BP
223159_s_at,NEK6
1563621_at,---
226644_at,MIB2
220721_at,ZNF614
236097_at,---
209811_at,CASP2
231234_at,CTSC
222716_s_at,SNX24
234986_at,GCLM
242218_at,LOC100507672
1558631_at,PPARA
236624_at,LOC643837
226473_at,CBX2
230820_at,---
219393_s_at,AKT3
232322_x_at,STARD10
237452_at,---
217629_at,---
202526_at,SMAD4
212136_at,ATP2B4
223578_x_at,LOC100996467
208115_x_at,C10orf137
237367_x_at,CFLAR
244043_at,TFDP2
219763_at,DENND1A
240830_at,SCARNA17
208725_at,EIF2S2
210554_s_at,CTBP2
1557385_at,FAM161A
201599_at,OAT
215191_at,---
203532_x_at,CUL5
205103_at,C1orf61
234963_s_at,FA2H
209846_s_at,BTN3A2
228530_at,MZT1
215462_at,PLK3
225050_at,ZNF512
204505_s_at,DMTN
208733_at,RAB2A
239493_at,RPL7
232922_s_at,SLC17A9
237180_at,---
203967_at,CDC6
202784_s_at,NNT
235198_at,OSTM1
238875_at,---
202709_at,FMOD
239516_at,---
244689_at,PPARA
204998_s_at,ATF5
204945_at,PTPRN
225812_at,FAM229B
215985_at,ZNRD1-AS1
1558167_a_at,MGC16275
226584_s_at,FAM110A
223412_at,KBTBD7
215812_s_at,LOC653562_///_SLC6A10P_///_SLC6A8
220357_s_at,SGK2
201741_x_at,SRSF1
244523_at,MMD
227502_at,OTTHUMG00000157537_///_RP5-894A10.2
221477_s_at,LOC100129518_///_SOD2
208935_s_at,LGALS8
214953_s_at,APP
232002_at,---
207484_s_at,EHMT2
201755_at,MCM5
201161_s_at,YBX3
215706_x_at,ZYX
224838_at,FOXP1
224859_at,CD276
238568_s_at,NPC1
208798_x_at,GOLGA8A
221845_s_at,CLPB
212561_at,DENND5A
213167_s_at,SLC5A3
213562_s_at,SQLE
242843_at,BCAN
243702_at,---
242338_at,TMEM64
233254_x_at,PTEN
227723_at,LOH12CR1
238430_x_at,SLFN5
233428_at,---
227637_at,TFCP2
212921_at,SMYD2
204633_s_at,RPS6KA5
216438_s_at,TMSB4X
1553141_at,LACC1
217199_s_at,STAT2
1557135_at,LOC100996344
227810_at,ZNF558
236553_at,LOC100507520
235532_at,OTTHUMG00000176110_///_RP11-226L15.5
233192_s_at,RUFY2
211004_s_at,ALDH3B1
224959_at,SLC26A2
1566558_x_at,BAIAP2-AS1
231831_at,COX19
1559391_s_at,---
1555486_a_at,PRR5L
203839_s_at,TNK2
231121_at,HPS3
206527_at,ABAT
233036_at,---
212662_at,PVR
206910_x_at,CFHR2
239531_at,---
219039_at,SEMA4C
242320_at,---
205359_at,AKAP6
31845_at,ELF4
1553992_s_at,NBR2
206868_at,STARD8
230898_at,---
1559867_at,---
215670_s_at,SCAND2P
240594_at,---
214066_x_at,NPR2
1552804_a_at,TIRAP
228925_at,ADAM1A_///_ADAM1A
225202_at,RHOBTB3
205251_at,PER2
235680_at,---
206745_at,HOXC11
230888_at,WDR91
217591_at,SKIL
206087_x_at,HFE
219696_at,DENND1B
241879_at,LPP
203140_at,BCL6
209827_s_at,IL16
241936_x_at,---
1569052_at,---
1568987_at,CRHR1-IT1_///_MGC57346
219077_s_at,WWOX
1565759_at,RPL13
1552665_at,JMJD1C-AS1
239582_at,PML
235443_at,LOC100131067
203124_s_at,SLC11A2
210754_s_at,LYN
211530_x_at,HLA-G
211417_x_at,GGT1_///_GGT2_///_GGTLC2
203794_at,CDC42BPA
225421_at,PM20D2
235339_at,SETDB2
204315_s_at,GTSE1
215886_x_at,USP12
204257_at,FADS3
232312_at,PPP6R3
204418_x_at,GSTM2
1563471_at,EPG5
220576_at,PGAP1
212655_at,ZCCHC14
224856_at,FKBP5
239100_x_at,PCNX
236435_at,---
235501_at,---
243641_at,---
228005_at,ZXDB
212739_s_at,NME4
222015_at,CSNK1E
1569190_at,SCLT1
201373_at,PLEC
208368_s_at,BRCA2
218523_at,LHPP
204729_s_at,STX1A
225097_at,HIPK2
205705_at,ANKRD26
1552307_a_at,TTC39C
1554588_a_at,TTC30B
1557293_at,LINC00969
203748_x_at,RBMS1
1555964_at,ARL17A_///_ARL17B_///_LOC100294341_///_LOC100996709
221551_x_at,ST6GALNAC4
237431_at,LOC100506882_///_USP32
225322_s_at,C17orf70
214782_at,CTTN
209011_at,TRIO
211911_x_at,HLA-B
235219_at,C5orf55
222566_at,SUV420H1
232175_at,ARF1
206943_at,TGFBR1
229653_at,VPS53
221123_x_at,FBXO16_///_ZNF395
91703_at,EHBP1L1
212196_at,IL6ST
238021_s_at,CRNDE
210907_s_at,PDCD10
1555892_s_at,PSMD5-AS1
217677_at,PLEKHA2
210278_s_at,AP4S1
219338_s_at,LRRC49
237218_at,---
205822_s_at,HMGCS1
1555978_s_at,MYL12A
230467_at,TMEM52
242949_x_at,CCDC157
221978_at,HLA-F
234452_at,HIBADH
224917_at,MIR21_///_VMP1
219174_at,IFT74
1570552_at,---
1553719_s_at,ZNF548
203928_x_at,MAPT
227970_at,GPR157
227295_at,IKBIP
228654_at,SPIN4
239274_at,---
218084_x_at,FXYD5
228868_x_at,CDT1
223640_at,HCST
235716_at,---
232690_at,CTC-205M6.1_///_OTTHUMG00000162253
230054_at,LOC100507547_///_PRRT1
225171_at,ARHGAP18
232063_x_at,FARSB
229074_at,EHD4
224763_at,LOC100506548_///_RPL37
213582_at,ATP11A
239754_at,C17orf76-AS1_///_SNORD49A_///_SNORD49B_///_SNORD65
238553_at,AGAP9_///_BMS1P1_///_BMS1P5_///_LOC100996797
233903_s_at,ARHGEF26
211986_at,AHNAK
223220_s_at,PARP9
214322_at,CAMK2G
233078_at,API5
225237_s_at,MSI2
223492_s_at,LRRFIP1
1552364_s_at,MSI2
218500_at,THEM6
222125_s_at,P4HTM
226568_at,FAM102B
230209_at,ZXDC
205204_at,NMB
210943_s_at,LYST
227567_at,LINC00674
220073_s_at,PLEKHG6
226516_at,MFSD12
238511_at,UBL7-AS1
228846_at,MXD1
232489_at,TRMT13
221890_at,ZNF335
239462_at,ZNF284
239863_at,OTTHUMG00000176157_///_RP11-305E6.4
240175_at,---
160020_at,MMP14
236916_at,---
202422_s_at,ACSL4
218418_s_at,KANK2
212715_s_at,MICAL3
214724_at,DIXDC1
226000_at,CTTNBP2NL
227925_at,ST3GAL4-AS1
202002_at,ACAA2
1560776_at,---
204065_at,CHST10
218780_at,HOOK2
241823_at,---
1554948_at,---
226043_at,GPSM1
225046_at,LOC389831
212282_at,TMEM97
211804_s_at,CDK2
233440_at,---
236172_at,LTB4R
241801_at,PGAP1
223079_s_at,GLS
235925_at,---
235414_at,ZNF383
209936_at,RBM5
235692_at,SH3KBP1
236134_at,DCAF7
227016_at,ERICH1
238573_at,---
226132_s_at,MANEAL
1558738_at,NOL3
223946_at,MED23
1552399_a_at,BRF1
1560014_s_at,LOC101060433_///_PDXDC1
217274_x_at,MYL4
205228_at,RBMS2
212203_x_at,IFITM3
206687_s_at,PTPN6
203479_s_at,OTUD4
207143_at,CDK6
212398_at,RDX
225929_s_at,RNF213
217196_s_at,CAMSAP2
225191_at,CIRBP
213787_s_at,EBP
227977_at,ZADH2
205536_at,VAV2
1553150_at,KDM1B
223530_at,TDRKH
231926_at,EPS15L1
209815_at,PTCH1
229295_at,IL17RA
203274_at,F8A1_///_F8A2_///_F8A3
243964_at,---
202812_at,GAA
228046_at,ZNF827
225820_at,PHF17
205160_at,PEX11A
218276_s_at,SAV1
232398_at,CCDC150
235221_at,CBLN3
232811_x_at,PRICKLE1
225796_at,PXK
1560579_s_at,LOC100506392
221586_s_at,E2F5
227750_at,KALRN
205662_at,B9D1
221683_s_at,CEP290
238729_x_at,SAV1
205566_at,ABHD2
236327_at,---
205409_at,FOSL2
205773_at,CPEB3
210835_s_at,CTBP2
231011_at,LARP1B
231243_s_at,BHLHE41
244032_at,---
204949_at,ICAM3
230591_at,LOC729887
214543_x_at,QKI
226484_at,ZBTB47
219171_s_at,ZNF236
205248_at,DOPEY2
210424_s_at,GOLGA8A_///_GOLGA8B
215694_at,SPATA5L1
244486_at,---
1552867_at,---
218224_at,PNMA1
240230_s_at,AGAP9
228249_at,C11orf74
1559964_at,FLJ38717
223458_at,SEZ6L2
230002_at,GPSM2
228184_at,DISP1
1565881_at,CTD-2233K9.1_///_OTTHUMG00000183439
225331_at,CCDC50
228361_at,E2F2
242261_at,IREB2
222951_s_at,ANKEF1
207001_x_at,TSC22D3
216178_x_at,ITGB1
228779_at,LOC146880
243303_at,---
237187_at,HRK
217373_x_at,MDM2
229512_at,FAM120C
236124_at,LOC153546
202598_at,S100A13
229415_at,CYCS
229260_at,C5orf15
224990_at,SMIM14
204202_at,IQCE
225129_at,CPNE2
201759_at,TBCD
206902_s_at,EXOG
240128_at,---
1569666_s_at,---
1558647_at,SH3D19
212446_s_at,CERS6
222816_s_at,ZCCHC2
226752_at,FAM174A
1557512_at,---
222316_at,---
206686_at,PDK1
209713_s_at,SLC35D1
1554472_a_at,PHF20L1
218614_at,KIAA1551
236244_at,---
238432_at,DLGAP1-AS1
238631_at,---
207486_x_at,CHN2
242289_at,---
209637_s_at,RGS12
226609_at,DCBLD1
232375_at,---
231403_at,TRIO
217555_at,SMC1A
230198_at,---
214108_at,MAX
236164_at,FLJ10038
204225_at,HDAC4
229545_at,FERMT1
239086_at,---
205145_s_at,MYL5
221195_at,RNFT1
229574_at,TRA2A
219080_s_at,CTPS2
226746_s_at,UBE4B
210778_s_at,MIR4800_///_MXD4
227109_at,CYP2R1
227722_at,RPS23
239411_at,---
1568949_at,PITPNC1
233859_at,CEP128
213982_s_at,RABGAP1L
204832_s_at,BMPR1A
228485_s_at,SLC44A1
224840_at,FKBP5
203725_at,GADD45A
1560590_s_at,---
215069_at,NMT2
226980_at,DEPDC1B
228613_at,RAB11FIP3
209626_s_at,OSBPL3
232583_at,---
235846_at,FSBP_///_RAD54B
209195_s_at,ADCY6
221794_at,DOCK6
203395_s_at,HES1
213641_at,ZNF500
223282_at,TSHZ1
238130_at,NFATC2IP
1558569_at,LOC100131541
231909_x_at,ODF2L
231149_s_at,ULK4
221156_x_at,CCPG1
244304_at,DIS3L2
204440_at,CD83
209788_s_at,ERAP1
241372_at,ZC3H6
240690_at,---
228831_s_at,GNG7
AFFX-HUMISGF3A/M97935_MB_at,STAT1
227961_at,CTSB
204935_at,PTPN2
205655_at,MDM4
235529_x_at,SAMHD1
219099_at,C12orf5
226665_at,AHSA2
203806_s_at,FANCA
219609_at,WDR25
222237_s_at,ZFP112
220391_at,ZBTB3
228185_at,ZNF25
35666_at,SEMA3F
201810_s_at,SH3BP5
218280_x_at,HIST2H2AA3_///_HIST2H2AA4
211121_s_at,DOK1
231406_at,ORAI2
218338_at,PHC1
238515_at,NUDT16
230987_at,---
238811_at,ATP11B
236856_x_at,OTTHUMG00000042242_///_OTTHUMG00000165519_///_RP11-458D21.2_///_RP4-791M13.3
224595_at,SLC44A1
215938_s_at,PLA2G6
242870_at,---
229143_at,CNOT3
241812_at,SPATS2L
213720_s_at,SMARCA4
226152_at,TTC7B
241434_at,OTTHUMG00000085067_///_RP11-767N6.7
232647_at,PROCA1
227092_at,CTD-2336O2.1_///_OTTHUMG00000163625
212242_at,TUBA4A
1559066_at,OTTHUMG00000175583_///_RP11-4O1.2
244546_at,CYCS
218829_s_at,CHD7
235989_at,---
236150_at,HYKK
227219_x_at,MAP1LC3A
238704_at,OTTHUMG00000178529_///_RP11-498C9.15
209126_x_at,KRT6B
223498_at,SPECC1
230652_at,ARAF
212288_at,FNBP1
1552427_at,ZNF485
212993_at,NACC2
217892_s_at,LIMA1
227149_at,TNRC6C
1553991_s_at,VSIG10
228358_at,SOX12
242423_x_at,---
224352_s_at,CFL2
217548_at,---
214083_at,PPP2R5C
242044_at,---
217223_s_at,BCR
210552_s_at,RALGPS1
229867_at,BTBD9
204281_at,TEAD4
235902_at,---
1568873_at,ZNF519
228490_at,ABHD2
230906_at,GALNT10
212729_at,DLG3
239142_at,RFESD
201847_at,LIPA
214721_x_at,CDC42EP4
54037_at,HPS4
203773_x_at,BLVRA
233334_x_at,LOC101060714_///_LOC101060729_///_SLX1A_///_SLX1A-SULT1A3_///_SLX1B_///_SLX1B-SULT1A4_///_SULT1A3_///_SULT1A4
203243_s_at,PDLIM5
209334_s_at,PSMD9
238077_at,KCTD6
222938_x_at,ENPP3
220494_s_at,---
239445_at,---
224693_at,FAM210B
64900_at,TMEM231
1553322_s_at,TEAD1
217437_s_at,TACC1
207013_s_at,MMP16
227713_at,KATNAL1
230157_at,CDH24
48808_at,DHFR
211160_x_at,ACTN1
223182_s_at,AGPAT3
238422_at,LBX2-AS1
215111_s_at,TSC22D1
217687_at,ADCY2
217025_s_at,DBN1
210971_s_at,ARNTL
201123_s_at,EIF5A
1568865_at,FNTB
207986_x_at,CYB561
223464_at,OSBPL5
214802_at,EXOC7
229690_at,FAM109A
1554348_s_at,CDKN2AIPNL
49111_at,ARRB1
1553542_at,CCDC125
230146_s_at,NCS1
221659_s_at,MYL10
238554_at,CYB5B
208546_x_at,HIST1H2BH
219951_s_at,DZANK1
228175_at,SLC4A8
205375_at,MDFI
225979_at,PLEKHG2
202368_s_at,TRAM2
1558700_s_at,ZNF260
242374_at,---
1569952_x_at,---
235805_at,---
231956_at,RNF213
239511_s_at,SRSF4
235152_at,AP001258.4_///_OTTHUMG00000167435
239545_at,---
239405_at,---
244321_at,PGAP1
210214_s_at,BMPR2
1555870_at,RNF207
202464_s_at,PFKFB3
207064_s_at,AOC2
214910_s_at,APOM
217627_at,ZNF573
208797_s_at,GOLGA8A
228069_at,MTFR2
220558_x_at,TSPAN32
235338_s_at,SETDB2
219188_s_at,MACROD1
216094_at,---
1552935_at,ZCCHC5
231832_at,GALNT4_///_POC1B-GALNT4
1564963_x_at,ZNF92
211572_s_at,SLC23A2
222461_s_at,HERC2_///_LOC100653292
225115_at,HIPK2
232346_at,LOC388692
212281_s_at,TMEM97
210589_s_at,GBAP1
223570_at,MCM10
244349_at,---
1559401_a_at,---
230026_at,MRPL43
206020_at,SOCS6
207871_s_at,ST7_///_ST7-OT3
206019_at,RBM19
203004_s_at,MEF2D
228198_s_at,FAHD2CP
201969_at,NASP
205013_s_at,ADORA2A_///_SPECC1L-ADORA2A
222909_s_at,BAG4
242390_at,---
205986_at,AATK
60471_at,RIN3
225706_at,GLCCI1
209344_at,TPM4
225305_at,SLC25A29
1552685_a_at,GRHL1
1565436_s_at,KMT2A
1560199_x_at,---
229264_at,---
241395_at,NIT1
223789_s_at,GTPBP2
224002_s_at,FKBP7
238624_at,NLK
214757_at,PMS2L2
227296_at,MFSD3
230341_x_at,ADAMTS10
236400_at,IDH1-AS1
238534_at,LRRFIP1
230408_at,---
204280_at,RGS14
203418_at,CCNA2
236446_at,---
213779_at,EMID1
230786_at,ZCCHC8
204029_at,CELSR2
204319_s_at,RGS10
203627_at,IGF1R
210524_x_at,---
201170_s_at,BHLHE40
204224_s_at,GCH1
241774_at,FLJ31306
210617_at,PHEX
38290_at,RGS14
222632_s_at,LZTFL1
210756_s_at,NOTCH2
219860_at,LY6G5C
59697_at,RAB15
238006_at,SIN3A
202430_s_at,PLSCR1
234936_s_at,CC2D2A
1554614_a_at,PTBP2
220319_s_at,MYLIP
223287_s_at,FOXP1
213045_at,MAST3
1559220_at,OTTHUMG00000158107_///_RP5-1157M23.2
213497_at,ABTB2
1558041_a_at,KIAA0895L
211200_s_at,EFCAB2
205756_s_at,F8
206583_at,KRBOX4
220855_at,CLTC-IT1
212346_s_at,MIR4800_///_MXD4
237065_s_at,LAMTOR5-AS1
238174_at,---
201034_at,ADD3
1557685_at,LOC100507117
239563_at,OTTHUMG00000175784_///_RP11-517B11.7
216060_s_at,DAAM1
230605_at,---
226273_at,CLCN5
235428_at,LOC100507316
212171_x_at,VEGFA
201625_s_at,INSIG1
243649_at,FBXO7
233089_at,QRSL1
239038_at,C1orf52
223123_s_at,PITHD1
223812_at,FAM178B
1557522_x_at,---
223777_at,DDX11L2
221059_s_at,COTL1
213658_at,---
1554660_a_at,CNST
242217_s_at,FBRS
223216_x_at,FBXO16_///_ZNF395
211385_x_at,SULT1A2
238069_at,OTTHUMG00000015263_///_RP11-98I9.4
1563468_at,---
229026_at,---
241775_at,---
231990_at,USP15
235366_at,ZNF10
208769_at,EIF4EBP2
213274_s_at,CTSB
204485_s_at,TOM1L1
204741_at,BICD1
226736_at,CHURC1
210701_at,CFDP1
235785_at,OTTHUMG00000173051_///_RP5-991G20.4
212573_at,ENDOD1
209359_x_at,LOC100506403_///_RUNX1
1553732_s_at,CEP89
232094_at,KATNBL1
203932_at,HLA-DMB
237330_at,---
225140_at,KLF3
226726_at,MBOAT2
226030_at,ACADSB
239731_at,---
218802_at,CCDC109B
230492_s_at,GPCPD1
232488_at,PHYKPL
225062_at,LOC389831
213595_s_at,CDC42BPA
219361_s_at,AEN
230520_at,AIG1
223432_at,OSBP2
239957_at,---
228908_s_at,LOC642852
1555122_at,GPR125
229525_at,---
240538_at,---
1558139_at,FLJ39632_///_LOC100506303_///_LOC100653149_///_LOC101060483_///_LOC400879_///_LOC440157
227489_at,SMURF2
208107_s_at,LOC81691
231039_at,NAA30
202701_at,BMP1
221757_at,PIK3IP1
218741_at,CENPM
244788_at,---
1559759_at,KIFC3
213269_at,ZNF248
235949_at,TTC26
223312_at,PRADC1
222152_at,PDCD6
232278_s_at,DEPDC1
224442_at,PHF6
240421_x_at,SAV1
45714_at,HCFC1R1
243189_at,NRF1
37577_at,ARHGAP19
214806_at,BICD1
1558430_at,OTTHUMG00000173203_///_RP11-680G24.5
211352_s_at,NCOA3
223519_at,ZAK
232773_at,---
213437_at,RUFY3
235345_at,RUFY2
239830_at,---
204525_at,PHF14
210128_s_at,LTB4R
228666_at,C15orf38
232158_x_at,NIPAL1
218284_at,SMAD3
222067_x_at,HIST1H2BD
1556425_a_at,LOC284219
214293_at,11-Sep
213471_at,NPHP4
209826_at,EGFL8_///_PPT2_///_PPT2-EGFL8
223852_s_at,STK40
238418_at,SLC35B4
241391_at,---
228515_at,LOC90784_///_POLR1A
211471_s_at,RAB36
