Gemcitabine,Gefitinib,Cisplatin,Doxorubicin,Docetaxel,Paclitaxel,Carboplatin
1.398596667,1.000133829,1.000218785,-0.043071751,-1.84097233,-1.000261398,-2.721157447
1.029497622,0.999866426,1.621915407,0.328576243,-0.78653833,-1.397665785,-0.887019239
0.789036371,-0.324354927,0.230163466,-0.230866044,-1.581164124,-0.837128831,-0.96613406
-0.495022014,-1.207294372,-2.698590891,-1.255588803,0.876174897,0.09248049,-2.636424021
-1.514718046,1.130380614,-1.078673173,-2.097401305,-2.464522235,-1.873895872,-1.448273361
1.108352503,0.999953828,0.633897976,-1.04819395,-1.32747514,-1.478217376,-1.555228454
-0.976972227,-2.015937311,-0.674340615,-2.236579137,-0.992233659,-1.679435575,1.766506663
1.790081412,-0.436852669,-2.732753125,-1.337434806,0.939947463,4.561086569,-1.990009224
-1.092047061,0.621827838,-0.719087859,0.228872036,-0.05379479,-0.708209822,-0.991597333
1.431382323,-3.348774808,-0.953493058,-3.065930848,0.21273789,-3.74642629,-0.279806207
1.660896683,-3.180064783,-0.370660612,-2.546037648,-1.643780876,-5.163325373,0.348892567
-2.037974601,-1.11082236,0.521714229,1.075962671,-0.92102761,-1.967335813,-1.97276355
1.036320027,-2.941368066,0.536599641,-0.710591083,2.23275603,-6.240113539,-2.50069079
-1.206151463,0.147449908,-0.621339227,1.37104282,0.111755729,-1.587349585,0.351530731
1.589751969,-3.451962645,0.960971814,1.494861895,-0.543273456,4.630168666,2.731966185
1.413425937,-2.749739649,0.828030421,-2.973556959,2.643311987,1.240374906,1.49344701
-0.202105911,-3.450316387,-2.665487142,-0.817220269,-0.451656809,1.305604347,1.737924314
2.935676769,-1.407377178,-1.364458559,0.632681555,0.442870763,3.489100794,5.176303694
-0.884649227,-3.392044632,2.749372238,1.465113291,1.862188092,-3.362442839,-1.118201972
-0.041397528,-2.145804783,-0.507555508,-2.910316192,-1.122586239,1.820218984,1.741887086
0.095572278,-1.287782268,-0.145473653,-2.178807963,0.21357687,3.151136283,2.679168649
0.442512908,-1.985581126,-0.745717957,-1.071692595,-1.037877337,3.111442351,1.321521268
